,Level 1,Level 2,Level 3,Level 4
Description,I clearly name an app or a tool but it doesn’t appear to use AI.,I clearly name an AI tool.,I clearly name an AI tool and I describe how the AI tool works.,I clearly name an AI tool . I describe how the AI tool works and provide a metaphor or example that helps readers understand.
Predictions,I make one prediction about how the tool may impact society.,I make two predictions about how the tool may impact society.,I make three predictions about how the tool may impact society. Not all of them are justified with evidence.,I make three predictions about how the tool may impact society and I use evidence to justify each prediction.
Recommendations,I make one recommendation but it amplifies societal harm.,I make one recommendation but it is hard to tell how it might reduce societal harm.,I clearly make one recommendation on how to regulate the tool in order to reduce societal harm.,I clearly make one recommendation on how to regulate the tool in order to reduce societal harm. I also describe how others can help in getting these efforts started.
Prose and Style,The article’s main argument is unclear or the points included are unrelated to the argument made.,"The article contains each of the following structural components: argument, point 1, and conclusion.","The article contains each of the following structural components: clear argument, point 1, point 2, point 3, and conclusion.","The article contains each of the following structural components: hook, clear argument, point 1, point 2, point 3, “To Be Sure”, and a “Call to Action” conclusion."
